TableNumber_	Command_	Subtype_	Label_	variable	value	Label
1	File Information	Variable Values	Variable Values	SUBNATIO	0320000	Argentina - Rest of the country (not adjudicated)
1	File Information	Variable Values	Variable Values	SUBNATIO	0320100	Argentina - CABA
1	File Information	Variable Values	Variable Values	SUBNATIO	0360000	Australia
1	File Information	Variable Values	Variable Values	SUBNATIO	0400000	Austria
1	File Information	Variable Values	Variable Values	SUBNATIO	0560000	Belgium - French & German regions (not adjudicated)
1	File Information	Variable Values	Variable Values	SUBNATIO	0560100	Belgium - Flemish Community
1	File Information	Variable Values	Variable Values	SUBNATIO	0760000	Brazil
1	File Information	Variable Values	Variable Values	SUBNATIO	1000000	Bulgaria
1	File Information	Variable Values	Variable Values	SUBNATIO	1240000	Canada
1	File Information	Variable Values	Variable Values	SUBNATIO	1520000	Chile
1	File Information	Variable Values	Variable Values	SUBNATIO	1560000	Shanghai-China
1	File Information	Variable Values	Variable Values	SUBNATIO	1580000	Chinese Taipei
1	File Information	Variable Values	Variable Values	SUBNATIO	1700000	Colombia
1	File Information	Variable Values	Variable Values	SUBNATIO	1880000	Costa Rica
1	File Information	Variable Values	Variable Values	SUBNATIO	1910000	Croatia
1	File Information	Variable Values	Variable Values	SUBNATIO	2030000	Czech Republic
1	File Information	Variable Values	Variable Values	SUBNATIO	2080000	Denmark
1	File Information	Variable Values	Variable Values	SUBNATIO	2330000	Estonia
1	File Information	Variable Values	Variable Values	SUBNATIO	2460000	Finland
1	File Information	Variable Values	Variable Values	SUBNATIO	2500000	France
1	File Information	Variable Values	Variable Values	SUBNATIO	2760000	Germany
1	File Information	Variable Values	Variable Values	SUBNATIO	3000000	Greece
1	File Information	Variable Values	Variable Values	SUBNATIO	3440000	Hong Kong-China
1	File Information	Variable Values	Variable Values	SUBNATIO	3480000	Hungary
1	File Information	Variable Values	Variable Values	SUBNATIO	3520000	Iceland
1	File Information	Variable Values	Variable Values	SUBNATIO	3600000	Indonesia
1	File Information	Variable Values	Variable Values	SUBNATIO	3720000	Ireland
1	File Information	Variable Values	Variable Values	SUBNATIO	3760000	Israel
1	File Information	Variable Values	Variable Values	SUBNATIO	3800000	Italy
1	File Information	Variable Values	Variable Values	SUBNATIO	3920000	Japan
1	File Information	Variable Values	Variable Values	SUBNATIO	3980000	Kazakhstan
1	File Information	Variable Values	Variable Values	SUBNATIO	4000000	Jordan
1	File Information	Variable Values	Variable Values	SUBNATIO	4100000	Korea
1	File Information	Variable Values	Variable Values	SUBNATIO	4280000	Latvia
1	File Information	Variable Values	Variable Values	SUBNATIO	4380000	Liechtenstein
1	File Information	Variable Values	Variable Values	SUBNATIO	4400000	Lithuania
1	File Information	Variable Values	Variable Values	SUBNATIO	4420000	Luxembourg
1	File Information	Variable Values	Variable Values	SUBNATIO	4460000	Macao-China
1	File Information	Variable Values	Variable Values	SUBNATIO	4580000	Malaysia
1	File Information	Variable Values	Variable Values	SUBNATIO	4840000	Mexico
1	File Information	Variable Values	Variable Values	SUBNATIO	4990000	Montenegro
1	File Information	Variable Values	Variable Values	SUBNATIO	5280000	Netherlands
1	File Information	Variable Values	Variable Values	SUBNATIO	5540000	New Zealand
1	File Information	Variable Values	Variable Values	SUBNATIO	5780000	Norway
1	File Information	Variable Values	Variable Values	SUBNATIO	6040000	Peru
1	File Information	Variable Values	Variable Values	SUBNATIO	6160000	Poland
1	File Information	Variable Values	Variable Values	SUBNATIO	6200000	Portugal
1	File Information	Variable Values	Variable Values	SUBNATIO	6340000	Qatar
1	File Information	Variable Values	Variable Values	SUBNATIO	6420000	Romania
1	File Information	Variable Values	Variable Values	SUBNATIO	6430000	Russian Federation
1	File Information	Variable Values	Variable Values	SUBNATIO	6430059	Russia - Perm Region
1	File Information	Variable Values	Variable Values	SUBNATIO	6880000	Serbia
1	File Information	Variable Values	Variable Values	SUBNATIO	7020000	Singapore
1	File Information	Variable Values	Variable Values	SUBNATIO	7030000	Slovak Republic
1	File Information	Variable Values	Variable Values	SUBNATIO	7040000	Viet Nam
1	File Information	Variable Values	Variable Values	SUBNATIO	7050000	Slovenia
1	File Information	Variable Values	Variable Values	SUBNATIO	7240000	Spain - Rest of the country (not adjudicated)
1	File Information	Variable Values	Variable Values	SUBNATIO	7240100	Spain - Andalusia
1	File Information	Variable Values	Variable Values	SUBNATIO	7240200	Spain - Aragon
1	File Information	Variable Values	Variable Values	SUBNATIO	7240300	Spain - Asturias
1	File Information	Variable Values	Variable Values	SUBNATIO	7240400	Spain - Balearic Islands
1	File Information	Variable Values	Variable Values	SUBNATIO	7240600	Spain - Cantabria
1	File Information	Variable Values	Variable Values	SUBNATIO	7240700	Spain - Castile and Leon
1	File Information	Variable Values	Variable Values	SUBNATIO	7240900	Spain - Catalonia
1	File Information	Variable Values	Variable Values	SUBNATIO	7241000	Spain - Extremadura
1	File Information	Variable Values	Variable Values	SUBNATIO	7241100	Spain - Galicia
1	File Information	Variable Values	Variable Values	SUBNATIO	7241200	Spain - La Rioja
1	File Information	Variable Values	Variable Values	SUBNATIO	7241300	Spain - Madrid
1	File Information	Variable Values	Variable Values	SUBNATIO	7241400	Spain - Murcia
1	File Information	Variable Values	Variable Values	SUBNATIO	7241500	Spain - Navarre
1	File Information	Variable Values	Variable Values	SUBNATIO	7241600	Spain - Basque Country
1	File Information	Variable Values	Variable Values	SUBNATIO	7520000	Sweden
1	File Information	Variable Values	Variable Values	SUBNATIO	7560000	Switzerland
1	File Information	Variable Values	Variable Values	SUBNATIO	7640000	Thailand
1	File Information	Variable Values	Variable Values	SUBNATIO	7840000	UAE - Rest of the country (not adjudicated)
1	File Information	Variable Values	Variable Values	SUBNATIO	7840100	UAE - Abu Dhabi
1	File Information	Variable Values	Variable Values	SUBNATIO	7840200	UAE - Dubai
1	File Information	Variable Values	Variable Values	SUBNATIO	7880000	Tunisia
1	File Information	Variable Values	Variable Values	SUBNATIO	7920000	Turkey
1	File Information	Variable Values	Variable Values	SUBNATIO	8260000	United Kingdom - England, Wales & Northern Ireland
1	File Information	Variable Values	Variable Values	SUBNATIO	8262000	United Kingdom - Scotland
1	File Information	Variable Values	Variable Values	SUBNATIO	8400000	United States of America
1	File Information	Variable Values	Variable Values	SUBNATIO	8400100	United States - Florida
1	File Information	Variable Values	Variable Values	SUBNATIO	8400200	United States - Connecticut
1	File Information	Variable Values	Variable Values	SUBNATIO	8400300	United States - Massachusetts
1	File Information	Variable Values	Variable Values	SUBNATIO	8580000	Uruguay
1	File Information	Variable Values	Variable Values	STRATUM	ALB0001	ALB - stratum 01 : North, Urban, Public
1	File Information	Variable Values	Variable Values	STRATUM	ALB0002	ALB - stratum 02 : North, Urban, Private
1	File Information	Variable Values	Variable Values	STRATUM	ALB0003	ALB - stratum 03 : North, Rural, Public
1	File Information	Variable Values	Variable Values	STRATUM	ALB0004	ALB - stratum 04 : North, Rural, Private
1	File Information	Variable Values	Variable Values	STRATUM	ALB0005	ALB - stratum 05 : Center, Urban, Public
1	File Information	Variable Values	Variable Values	STRATUM	ALB0006	ALB - stratum 06 : Center, Urban, Private
1	File Information	Variable Values	Variable Values	STRATUM	ALB0007	ALB - stratum 07 : Center, Rural, Public
1	File Information	Variable Values	Variable Values	STRATUM	ALB0008	ALB - stratum 08 : Center, Rural, Private
1	File Information	Variable Values	Variable Values	STRATUM	ALB0009	ALB - stratum 09 : South, Urban, Public
1	File Information	Variable Values	Variable Values	STRATUM	ALB0010	ALB - stratum 10 : South, Urban, Private
1	File Information	Variable Values	Variable Values	STRATUM	ALB0011	ALB - stratum 11 : South, Rural, Public
1	File Information	Variable Values	Variable Values	STRATUM	ALB0012	ALB - stratum 12 : South, Rural, Private
1	File Information	Variable Values	Variable Values	STRATUM	ALB9797	Undisclosed STRATUM - Albania
1	File Information	Variable Values	Variable Values	STRATUM	ARE0101	ARE - stratum 01 : ABU DHABI,MOE,PUBLIC
1	File Information	Variable Values	Variable Values	STRATUM	ARE0102	ARE - stratum 02 : ABU DHABI,MOE,PRIVATE
1	File Information	Variable Values	Variable Values	STRATUM	ARE0104	ARE - stratum 04 : ABU DHABI,US,PRIVATE
1	File Information	Variable Values	Variable Values	STRATUM	ARE0106	ARE - stratum 06 : ABU DHABI,UK,PRIVATE
1	File Information	Variable Values	Variable Values	STRATUM	ARE0108	ARE - stratum 08 : ABU DHABI,INDIAN,PRIVATE
1	File Information	Variable Values	Variable Values	STRATUM	ARE0109	ARE - stratum 09 : ABU DHABI,OTHER,PUBLIC
1	File Information	Variable Values	Variable Values	STRATUM	ARE0110	ARE - stratum 10 : ABU DHABI,OTHER,PRIVATE
1	File Information	Variable Values	Variable Values	STRATUM	ARE0211	ARE - stratum 11 : DUBAI,MOE,PUBLIC
1	File Information	Variable Values	Variable Values	STRATUM	ARE0212	ARE - stratum 12 : DUBAI,MOE,PRIVATE
1	File Information	Variable Values	Variable Values	STRATUM	ARE0214	ARE - stratum 14 : DUBAI,US,PRIVATE
1	File Information	Variable Values	Variable Values	STRATUM	ARE0216	ARE - stratum 16 : DUBAI,UK,PRIVATE
1	File Information	Variable Values	Variable Values	STRATUM	ARE0218	ARE - stratum 18 : DUBAI,INDIAN,PRIVATE
1	File Information	Variable Values	Variable Values	STRATUM	ARE0219	ARE - stratum 19 : DUBAI,OTHER,PUBLIC
1	File Information	Variable Values	Variable Values	STRATUM	ARE0220	ARE - stratum 20 : DUBAI,OTHER,PRIVATE
1	File Information	Variable Values	Variable Values	STRATUM	ARE0321	ARE - stratum 21 : SHARJAH,MOE,PUBLIC
1	File Information	Variable Values	Variable Values	STRATUM	ARE0322	ARE - stratum 22 : SHARJAH,MOE,PRIVATE
1	File Information	Variable Values	Variable Values	STRATUM	ARE0324	ARE - stratum 24 : SHARJAH,US,PRIVATE
1	File Information	Variable Values	Variable Values	STRATUM	ARE0326	ARE - stratum 26 : SHARJAH,UK,PRIVATE
1	File Information	Variable Values	Variable Values	STRATUM	ARE0328	ARE - stratum 28 : SHARJAH,INDIAN,PRIVATE
1	File Information	Variable Values	Variable Values	STRATUM	ARE0330	ARE - stratum 30 : SHARJAH,OTHER,PRIVATE
1	File Information	Variable Values	Variable Values	STRATUM	ARE0431	ARE - stratum 31 : AJMAN,MOE,PUBLIC
1	File Information	Variable Values	Variable Values	STRATUM	ARE0432	ARE - stratum 32 : AJMAN,MOE,PRIVATE
1	File Information	Variable Values	Variable Values	STRATUM	ARE0434	ARE - stratum 34 : AJMAN,US,PRIVATE
1	File Information	Variable Values	Variable Values	STRATUM	ARE0438	ARE - stratum 38 : AJMAN,INDIAN,PRIVATE
1	File Information	Variable Values	Variable Values	STRATUM	ARE0440	ARE - stratum 40 : AJMAN,OTHER,PRIVATE
1	File Information	Variable Values	Variable Values	STRATUM	ARE0541	ARE - stratum 41 : UMM AL QUWAIN,MOE,PUBLIC
1	File Information	Variable Values	Variable Values	STRATUM	ARE0542	ARE - stratum 42 : UMM AL QUWAIN,MOE,PRIVATE
1	File Information	Variable Values	Variable Values	STRATUM	ARE0548	ARE - stratum 48 : UMM AL QUWAIN,INDIAN,PRIVATE
1	File Information	Variable Values	Variable Values	STRATUM	ARE0651	ARE - stratum 51 : RAS AL KHAIMAH,MOE,PUBLIC
1	File Information	Variable Values	Variable Values	STRATUM	ARE0652	ARE - stratum 52 : RAS AL KHAIMAH,MOE,PRIVATE
1	File Information	Variable Values	Variable Values	STRATUM	ARE0654	ARE - stratum 54 : RAS AL KHAIMAH,US,PRIVATE
1	File Information	Variable Values	Variable Values	STRATUM	ARE0658	ARE - stratum 58 : RAS AL KHAIMAH,INDIAN,PRIVATE
1	File Information	Variable Values	Variable Values	STRATUM	ARE0659	ARE - stratum 59 : RAS AL KHAIMAH,OTHER,PUBLIC
1	File Information	Variable Values	Variable Values	STRATUM	ARE0660	ARE - stratum 60 : RAS AL KHAIMAH,OTHER,PRIVATE
1	File Information	Variable Values	Variable Values	STRATUM	ARE0761	ARE - stratum 61 : FUJAIRAH,MOE,PUBLIC
1	File Information	Variable Values	Variable Values	STRATUM	ARE0762	ARE - stratum 62 : FUJAIRAH,MOE,PRIVATE
1	File Information	Variable Values	Variable Values	STRATUM	ARE0766	ARE - stratum 66 : FUJAIRAH,UK,PRIVATE
1	File Information	Variable Values	Variable Values	STRATUM	ARE0768	ARE - stratum 68 : FUJAIRAH,INDIAN,PRIVATE
1	File Information	Variable Values	Variable Values	STRATUM	ARE0769	ARE - stratum 69 : FUJAIRAH,OTHER,PUBLIC
1	File Information	Variable Values	Variable Values	STRATUM	ARE0770	ARE - stratum 70 : FUJAIRAH,OTHER,PRIVATE
1	File Information	Variable Values	Variable Values	STRATUM	ARE9797	Undisclosed STRATUM - United Arab Emirates
1	File Information	Variable Values	Variable Values	STRATUM	ARG0001	ARG - stratum 01 : Centro
1	File Information	Variable Values	Variable Values	STRATUM	ARG0003	ARG - stratum 03 : NEA
1	File Information	Variable Values	Variable Values	STRATUM	ARG0004	ARG - stratum 04 : NOA
1	File Information	Variable Values	Variable Values	STRATUM	ARG0005	ARG - stratum 05 : Cuyo
1	File Information	Variable Values	Variable Values	STRATUM	ARG0006	ARG - stratum 06 : Patagonia
1	File Information	Variable Values	Variable Values	STRATUM	ARG0102	ARG - stratum 02 : CABA
1	File Information	Variable Values	Variable Values	STRATUM	ARG9797	Undisclosed STRATUM - Argentina
1	File Information	Variable Values	Variable Values	STRATUM	AUS0101	AUS - stratum 01 : ACT_Catholic
1	File Information	Variable Values	Variable Values	STRATUM	AUS0102	AUS - stratum 02 : ACT_Government
1	File Information	Variable Values	Variable Values	STRATUM	AUS0103	AUS - stratum 03 : ACT_Independent
1	File Information	Variable Values	Variable Values	STRATUM	AUS0204	AUS - stratum 04 : NSW_Catholic
1	File Information	Variable Values	Variable Values	STRATUM	AUS0205	AUS - stratum 05 : NSW_Government
1	File Information	Variable Values	Variable Values	STRATUM	AUS0206	AUS - stratum 06 : NSW_Independent
1	File Information	Variable Values	Variable Values	STRATUM	AUS0307	AUS - stratum 07 : VIC_Catholic
1	File Information	Variable Values	Variable Values	STRATUM	AUS0308	AUS - stratum 08 : VIC_Government
1	File Information	Variable Values	Variable Values	STRATUM	AUS0309	AUS - stratum 09 : VIC_Independent
1	File Information	Variable Values	Variable Values	STRATUM	AUS0410	AUS - stratum 10 : QLD_Catholic
1	File Information	Variable Values	Variable Values	STRATUM	AUS0411	AUS - stratum 11 : QLD_Government
1	File Information	Variable Values	Variable Values	STRATUM	AUS0412	AUS - stratum 12 : QLD_Independent
1	File Information	Variable Values	Variable Values	STRATUM	AUS0513	AUS - stratum 13 : SA_Catholic
1	File Information	Variable Values	Variable Values	STRATUM	AUS0514	AUS - stratum 14 : SA_Government
1	File Information	Variable Values	Variable Values	STRATUM	AUS0515	AUS - stratum 15 : SA_Independent
1	File Information	Variable Values	Variable Values	STRATUM	AUS0616	AUS - stratum 16 : WA_Catholic
1	File Information	Variable Values	Variable Values	STRATUM	AUS0617	AUS - stratum 17 : WA_Government
1	File Information	Variable Values	Variable Values	STRATUM	AUS0618	AUS - stratum 18 : WA_Independent
1	File Information	Variable Values	Variable Values	STRATUM	AUS0719	AUS - stratum 19 : TAS_Catholic
1	File Information	Variable Values	Variable Values	STRATUM	AUS0720	AUS - stratum 20 : TAS_Government
1	File Information	Variable Values	Variable Values	STRATUM	AUS0721	AUS - stratum 21 : TAS_Independent
1	File Information	Variable Values	Variable Values	STRATUM	AUS0822	AUS - stratum 22 : NT_Catholic
1	File Information	Variable Values	Variable Values	STRATUM	AUS0823	AUS - stratum 23 : NT_Government
1	File Information	Variable Values	Variable Values	STRATUM	AUS0824	AUS - stratum 24 : NT_Independent
1	File Information	Variable Values	Variable Values	STRATUM	AUS9797	Undisclosed STRATUM - Australia
1	File Information	Variable Values	Variable Values	STRATUM	AUT0001	AUT - stratum 01 : TYPE 1  Pflichtschulen
1	File Information	Variable Values	Variable Values	STRATUM	AUT0002	AUT - stratum 02 : TYPE 2  Polytechnische Schulen
1	File Information	Variable Values	Variable Values	STRATUM	AUT0003	AUT - stratum 03 : TYPE 3  AHS-Langform
1	File Information	Variable Values	Variable Values	STRATUM	AUT0004	AUT - stratum 04 : TYPE 4  AHS-Kurzform
1	File Information	Variable Values	Variable Values	STRATUM	AUT0005	AUT - stratum 05 : TYPE 5  Schulen mit Statut - Waldorfschulen
1	File Information	Variable Values	Variable Values	STRATUM	AUT0006	AUT - stratum 06 : TYPE 6  Schulen mit Statut - Sonstige
1	File Information	Variable Values	Variable Values	STRATUM	AUT0007	AUT - stratum 07 : TYPE 7  Berufsschulen kaufmännisch  and gewerblich
1	File Information	Variable Values	Variable Values	STRATUM	AUT0008	AUT - stratum 08 : TYPE 8  Berufsschulen landwirtschaftlich
1	File Information	Variable Values	Variable Values	STRATUM	AUT0009	AUT - stratum 09 : TYPE 9  BMS gewerblich
1	File Information	Variable Values	Variable Values	STRATUM	AUT0010	AUT - stratum 10 : TYPE 10  BMS kaufmännisch
1	File Information	Variable Values	Variable Values	STRATUM	AUT0011	AUT - stratum 11 : TYPE 11  BMS wirtschaftlich
1	File Information	Variable Values	Variable Values	STRATUM	AUT0012	AUT - stratum 12 : TYPE 12  BMS landwirtschaftlich
1	File Information	Variable Values	Variable Values	STRATUM	AUT0013	AUT - stratum 13 : TYPE 13  BHS gewerblich
1	File Information	Variable Values	Variable Values	STRATUM	AUT0014	AUT - stratum 14 : TYPE 14  BHS kaufmännisch
1	File Information	Variable Values	Variable Values	STRATUM	AUT0015	AUT - stratum 15 : TYPE 15  BHS wirtschaftlich
1	File Information	Variable Values	Variable Values	STRATUM	AUT0016	AUT - stratum 16 : TYPE 16  BHS landwirtschaftlich
1	File Information	Variable Values	Variable Values	STRATUM	AUT0017	AUT - stratum 17 : TYPE 17  BAKIP
1	File Information	Variable Values	Variable Values	STRATUM	AUT9797	Undisclosed STRATUM - Austria
1	File Information	Variable Values	Variable Values	STRATUM	BEL0101	BEL - stratum 01 : Flanders/Gen Ed only/private subsidized/ISCED2
1	File Information	Variable Values	Variable Values	STRATUM	BEL0102	BEL - stratum 02 : Flanders/Gen Ed only/private subsidized/ISCED3
1	File Information	Variable Values	Variable Values	STRATUM	BEL0103	BEL - stratum 03 : Flanders/Gen Ed only/private subsidized/Mixed ISCED
1	File Information	Variable Values	Variable Values	STRATUM	BEL0104	BEL - stratum 04 : Flanders/Gen Ed only/network comm. Schls/ISCED2
1	File Information	Variable Values	Variable Values	STRATUM	BEL0105	BEL - stratum 05 : Flanders/Gen Ed only/network comm. Schls/ISCED3
1	File Information	Variable Values	Variable Values	STRATUM	BEL0106	BEL - stratum 06 : Flanders/Gen Ed only/network comm. Schls/Mixed ISCED
1	File Information	Variable Values	Variable Values	STRATUM	BEL0107	BEL - stratum 07 : Flanders/Gen Ed and other type/private subsidized/ISCED2
1	File Information	Variable Values	Variable Values	STRATUM	BEL0108	BEL - stratum 08 : Flanders/Gen Ed and other type/private subsidized /ISCED3
1	File Information	Variable Values	Variable Values	STRATUM	BEL0109	BEL - stratum 09 : Flanders/Gen Ed and other type/private subsidized /Mixed ISCED
1	File Information	Variable Values	Variable Values	STRATUM	BEL0110	BEL - stratum 10 : Flanders/Gen Ed and other type/network comm. Schls/ISCED2
1	File Information	Variable Values	Variable Values	STRATUM	BEL0111	BEL - stratum 11 : Flanders/Gen Ed and other type/network comm. Schls/ISCED3
1	File Information	Variable Values	Variable Values	STRATUM	BEL0112	BEL - stratum 12 : Flanders/Gen Ed and other type/network comm. Schls/Mixed ISCED
1	File Information	Variable Values	Variable Values	STRATUM	BEL0113	BEL - stratum 13 : Flanders/Tech or Voc/private subsidized/ISCED2
1	File Information	Variable Values	Variable Values	STRATUM	BEL0114	BEL - stratum 14 : Flanders/Tech or Voc/private subsidized/ISCED3
1	File Information	Variable Values	Variable Values	STRATUM	BEL0115	BEL - stratum 15 : Flanders/Tech or Voc/private subsidized/Mixed ISCED
1	File Information	Variable Values	Variable Values	STRATUM	BEL0116	BEL - stratum 16 : Flanders/Tech or Voc/network comm. Schls/ISCED2
1	File Information	Variable Values	Variable Values	STRATUM	BEL0117	BEL - stratum 17 : Flanders/Tech or Voc/network comm. Schls/ISCED3
1	File Information	Variable Values	Variable Values	STRATUM	BEL0118	BEL - stratum 18 : Flanders/Tech or Voc/network comm. Schls/Mixed ISCED
1	File Information	Variable Values	Variable Values	STRATUM	BEL0119	BEL - stratum 19 : Flanders/Special Ed/ private subsidized
1	File Information	Variable Values	Variable Values	STRATUM	BEL0120	BEL - stratum 20 : Flanders/Special Ed/network comm. schls
1	File Information	Variable Values	Variable Values	STRATUM	BEL0121	BEL - stratum 21 : Flanders/Part-time Vocational Ed/community
1	File Information	Variable Values	Variable Values	STRATUM	BEL0222	BEL - stratum 22 : French com/Regular/ISCED2
1	File Information	Variable Values	Variable Values	STRATUM	BEL0223	BEL - stratum 23 : French com/Regular/ Mixed ISCED/Academic only
1	File Information	Variable Values	Variable Values	STRATUM	BEL0224	BEL - stratum 24 : French com/Regular/ Mixed ISCED/Mixed
1	File Information	Variable Values	Variable Values	STRATUM	BEL0225	BEL - stratum 25 : French com/Regular/ Mixed ISCED/Vocational only
1	File Information	Variable Values	Variable Values	STRATUM	BEL0226	BEL - stratum 26 : French com/Special Ed
1	File Information	Variable Values	Variable Values	STRATUM	BEL0227	BEL - stratum 27 : French com/Part-time Vocational Ed
1	File Information	Variable Values	Variable Values	STRATUM	BEL0328	BEL - stratum 28 : German com/Regular
1	File Information	Variable Values	Variable Values	STRATUM	BEL0329	BEL - stratum 29 : German com/Special Ed
1	File Information	Variable Values	Variable Values	STRATUM	BEL9797	Undisclosed STRATUM - Belgium
1	File Information	Variable Values	Variable Values	STRATUM	BGR0001	BGR - stratum 01 : Region 01
1	File Information	Variable Values	Variable Values	STRATUM	BGR0002	BGR - stratum 02 : Region 02
1	File Information	Variable Values	Variable Values	STRATUM	BGR0003	BGR - stratum 03 : Region 03
1	File Information	Variable Values	Variable Values	STRATUM	BGR0004	BGR - stratum 04 : Region 04
1	File Information	Variable Values	Variable Values	STRATUM	BGR0005	BGR - stratum 05 : Region 05
1	File Information	Variable Values	Variable Values	STRATUM	BGR0006	BGR - stratum 06 : Region 06
1	File Information	Variable Values	Variable Values	STRATUM	BGR0007	BGR - stratum 07 : Region 07
1	File Information	Variable Values	Variable Values	STRATUM	BGR0008	BGR - stratum 08 : Region 08
1	File Information	Variable Values	Variable Values	STRATUM	BGR0009	BGR - stratum 09 : Region 09
1	File Information	Variable Values	Variable Values	STRATUM	BGR0010	BGR - stratum 10 : Region 10
1	File Information	Variable Values	Variable Values	STRATUM	BGR0011	BGR - stratum 11 : Region 11
1	File Information	Variable Values	Variable Values	STRATUM	BGR9797	Undisclosed STRATUM - Bulgaria
1	File Information	Variable Values	Variable Values	STRATUM	BRA0101	BRA - stratum 01 : ACRE - FEDERAL/ESTADUAL
1	File Information	Variable Values	Variable Values	STRATUM	BRA0102	BRA - stratum 02 : ACRE - MUNICIPAL
1	File Information	Variable Values	Variable Values	STRATUM	BRA0103	BRA - stratum 03 : ACRE - PRIVADA
1	File Information	Variable Values	Variable Values	STRATUM	BRA0204	BRA - stratum 04 : ALAGOAS - FEDERAL/ESTADUAL
1	File Information	Variable Values	Variable Values	STRATUM	BRA0205	BRA - stratum 05 : ALAGOAS - MUNICIPAL
1	File Information	Variable Values	Variable Values	STRATUM	BRA0206	BRA - stratum 06 : ALAGOAS - PRIVADA
1	File Information	Variable Values	Variable Values	STRATUM	BRA0307	BRA - stratum 07 : AMAPÁ - FEDERAL/ESTADUAL
